date,avg_price,min_price,max_price,mandi_count,missing_data,day,month,day_of_week,lag_1,lag_7,lag_14,lag_30,ma_7,ma_14,ma_30
2025-05-01,2372.8214285714284,1500.0,3200.0,28.0,0,1,5,3,1026.9130303030304,1035.803484848485,1059.5626315789473,2311.9245283018868,1218.3288978586158,1144.0967462496913,1208.8454245288078
2025-05-02,2063.76,1072.0,3125.0,50.0,0,2,5,4,2372.8214285714284,1050.7,1022.2685714285714,2034.6,1363.051755001473,1218.4889911476505,1209.8174245288076
2025-05-03,2025.6043055555556,1250.0,2750.0,72.0,0,3,5,5,2063.76,1034.994423076923,1045.9918367346938,2076.46875,1504.5674524984206,1288.4613103491404,1208.121943047326
2025-05-04,1267.8749019607844,877.0,2000.0,51.0,0,4,5,6,2025.6043055555556,999.0384615384615,1098.9032258064517,1217.4132142857143,1542.9726582730382,1300.5307157887357,1209.803999303162
2025-05-05,964.0524193548387,450.0,1733.0,62.0,0,5,5,0,1267.8749019607844,1026.931052631579,1047.9707272727273,1007.5,1533.9899963763612,1294.536550937458,1208.35574661499
2025-05-06,1167.3030303030303,350.0,1800.0,66.0,0,6,5,1,964.0524193548387,1016.9038888888889,1081.9639655172414,1162.232142857143,1555.4755880069526,1300.632198422157,1208.5247761965193
2025-05-07,1339.7777777777778,500.0,1900.0,54.0,0,7,5,2,1167.3030303030303,1026.9130303030304,1156.1503508771932,1309.6433962264152,1600.1705519319164,1313.74844320077,1209.529255581565
2025-05-08,1183.6666666666667,700.0,1850.0,66.0,0,8,5,3,1339.7777777777778,2372.8214285714284,1035.803484848485,1161.6091525423728,1430.2913002312362,1324.3100990449261,1210.2645060523746
2025-05-09,1243.5185185185185,800.0,2000.0,27.0,0,9,5,4,1183.6666666666667,2063.76,1050.7,1190.1698113207547,1313.1139457338816,1338.0828503676773,1212.0427962923
2025-05-10,1299.4615384615386,800.0,2750.0,26.0,0,10,5,5,1243.5185185185185,2025.6043055555556,1034.994423076923,1159.0,1209.3792647204507,1356.9733586094355,1216.7248475743513
2025-05-11,1341.397435897436,700.0,2625.0,0.0,1,11,5,6,1299.4615384615386,1267.8749019607844,999.0384615384615,1347.5,1219.8824838542582,1381.4275710636482,1216.5214287709325
2025-05-12,1383.3333333333333,600.0,2500.0,15.0,0,12,5,0,1341.397435897436,964.0524193548387,1026.931052631579,1178.1818181818182,1279.7797572797574,1406.884876828059,1223.3598126093166
